type,name,url,notes
headliner,Grateful Dead,https://dead.net,source
headliner,Bob Weir & Wolf Bros,https://bobweir.net,
headliner,Billy & the Kids,https://billyandthekids.com,
headliner,Joe Russo's Almost Dead,https://joeruossalmostdead.com,JRAD; we track
headliner,Dark Star Orchestra,https://darkstarorchestra.net,we track
headliner,Phish,https://phish.com,
headliner,Widespread Panic,https://widespreadpanic.com,
headliner,Billy Strings,https://www.billystrings.com,
headliner,The String Cheese Incident,https://stringcheeseincident.com,
headliner,Umphrey's McGee,https://umphreys.com,
headliner,moe.,https://moe.org,
headliner,The Disco Biscuits,https://thediscobiscuits.com,
headliner,Goose,https://goose.band,
headliner,Gov't Mule,https://mule.net,
headliner,Tedeschi Trucks Band,https://tedeschitrucksband.com,
headliner,STS9,https://sts9.com,
headliner,Greensky Bluegrass,https://www.greenskybluegrass.com,
headliner,Pigeons Playing Ping Pong,https://www.pigeonsplayingpingpong.com,
headliner,Lotus,https://lotusband.com,
headliner,Papadosio,https://papadosio.com,
headliner,Twiddle,https://twiddlemusic.com,
headliner,Railroad Earth,https://railroadearth.com,
headliner,Kitchen Dwellers,https://kitchendwellersband.com,
headliner,Spafford,https://spafford.net,
headliner,The Werks,https://thewerksband.com,
headliner,Yonder Mountain String Band,https://www.yondermountain.com,
headliner,Big Something,https://bigsomething.net,
headliner,My Morning Jacket,https://www.mymorningjacket.com,
headliner,King Gizzard & the Lizard Wizard,https://kinggizzardandthelizardwizard.com,
headliner,Tame Impala,https://tameimpala.com,
headliner,Wilco,https://wilcoworld.net,
headliner,Fleet Foxes,https://www.fleetfoxes.com,
headliner,Nahko and Medicine for the People,https://nahko.com,
headliner,Circles Around the Sun,https://circlesaroundthesun.net,
headliner,Perpetual Groove,https://perpetualgroove.com,
headliner,Aqueous,https://aqueousmusic.com,
headliner,Eggy,https://eggy.band,
headliner,Neighbor,https://neighbor.band,
headliner,Daniel Donato's Cosmic Country,https://danieldonato.com,
headliner,Mickey Hart,https://mickeyhart.net,GD member
headliner,Tipper,https://tippermusic.net,
tribute,BlueBilly Grit,https://www.facebook.com/people/BlueBilly-Grit/100091793177202/,
tribute,The Garcia Project,http://thegarciaproject.com/,JGB tribute (top)
tribute,Bearly Dead,https://www.bearlydeadmusic.com/,
tribute,The Stolen Faces,https://thestolenfaces.com/,
tribute,Mystic Dead,https://mysticdead.com/,
tribute,Splintered Sunlight,https://www.facebook.com/share/1DyhzQfv1y/,
tribute,Crazy Fingers,https://www.crazyfingers.net/,
tribute,Grateful Shred,https://www.gratefulshredmusic.com/,
tribute,Terrapin Flyer,https://terrapinflyer.com/,
tribute,Stella Blue's Band,https://www.stellabluesband.net/,
tribute,Deadset,https://www.deadset.com/,
tribute,Cosmic Charlie,https://cosmiccharlie.net/,
tribute,Electric Waste Band,https://www.facebook.com/share/1LRgnYs6nC/,
tribute,Shakedown Street (band),https://www.facebook.com/share/14VzVKrHL27/,NAME COLLISION w/ our brand
tribute,Jerry's Middle Finger (JMF),https://jerrysmiddlefinger.com/,
tribute,HYRYDER,https://hyryder.com/,
tribute,Deadgrass,https://deadgrassband.com/,
tribute,Wall of Sound,https://www.wallofsound.us/,
tribute,Cubensis,https://www.cubensis.com/,
tribute,Forgotten Space,https://linktr.ee/forgottenspace,
tribute,Touch of Grey,https://www.touchofgreyband.com/,
tribute,Shakedown CT,https://www.facebook.com/shakedownCT,name-adjacent
tribute,The Deadheads MA,https://www.facebook.com/TheDeadHeadsMA,
tribute,Dead Beat (Boston),https://bostondeadbeat.com/,
tribute,Ramble on Rose,https://rambleonroseband.com/,
tribute,Phix,https://www.facebook.com/phixband,Phish tribute
tribute,Runaway Gin,https://www.atributetophish.com/,Phish tribute
tribute,A Live One,https://joshpearson.org/aliveone,Phish tribute
tribute,Uncle Ebenezer,https://www.facebook.com/uncleebenezermusic,
tribute,The Helping Friendly Band,https://www.instagram.com/the_helping_friendly_band,Phish tribute
tribute,Stash,https://stashband.com/,Phish tribute
tribute,Divided Sky,https://www.facebook.com/dividedskynj,Phish tribute
tribute,Rift,https://riftphilly.com/,Phish tribute
tribute,Chalk Dust,https://www.facebook.com/CHALKDUSTMUSIC,Phish tribute
tribute,The HooDoos,https://www.facebook.com/TheHooDoosFl,
tribute,The Lizards (Toronto),https://www.facebook.com/thelizardstoronto,
tribute,Smokestack,https://www.facebook.com/smokestackmusic,
tribute,Barstool Rodeo,https://barstool-rodeo.com/,
tribute,Smokin' Grass,https://www.facebook.com/official.Smokin.Grass,
jamgrass,Sicard Hollow,https://www.sicardhollow.com/,
jamgrass,Fireside Collective,https://www.firesidecollectiveband.com/,
jamgrass,Shadowgrass,https://shadowgrass.com/,
jamgrass,Leftover Salmon,https://www.leftoversalmon.com/,
jamgrass,Cabinet,https://www.instagram.com/cabinetmusic,
vendor,Rose & Bolt,https://RoseAndBolt.com,featured
vendor,Jayli Clothing,https://www.jayli.com,featured
vendor,Grateful Dead Shop,https://www.gratefuldeadshop.com,featured
vendor,Sunshine Joy,https://www.sunshinejoy.com,featured
vendor,E Dead Shop,https://edeadshop.com/,featured
vendor,Grateful Fred,https://grateful-fred.com/,featured
vendor,Fun Spun Threads,https://funspunthreads.com/,featured
vendor,Love On Haight,https://loveonhaightsf.com/,featured
vendor,Dead Images,https://www.deadimages.com,featured
vendor,Only Love Can Fill,https://share.google/5nK5s4VjDYB0hihD1,featured
vendor,Woodstock Artist Collective,https://www.woodstockartistcollective.com,featured
vendor,Android Jones,https://androidjones.com/,featured; major visionary artist
vendor,Jrad's Groovy Emporium,https://www.etsy.com/shop/JRadsGroovyEmporium,
vendor,Tee's Dyes,https://teesdyes.com/,
vendor,Rasta Batik,https://www.etsy.com/shop/RastaBatik,
vendor,Lost Sailor Designs,https://www.lostsailordesigns.com/,
vendor,Naytures Empire,https://www.naturempire.com/,
vendor,Lotus Leather,https://lotusleatherstudio.com/,
vendor,Crowleys Corner,https://www.crowleyscorner.com,
vendor,Jai 108 Presents,https://share.google/19TW3JJUiNh0SQY3e,
vendor,Mountain Song Collective,https://mountainsongcollective.net,
vendor,Alkemie Jewelry,https://www.alkemiejewelry.com,
vendor,Barefoot Carvings,https://www.etsy.com/shop/bearfootcarvings,
vendor,Jumbie Art,https://www.JumbieArt.com,
vendor,Make Art Not War,http://www.studiomyj.com,
vendor,Fat Freddy's Creations,http://etsy.com/shop/fatfreddyshats,
vendor,Earth Bound Designs,https://www.etsy.com/shop/earthboundesigns,
vendor,Grateful Batiks,https://www.etsy.com/market/grateful_batik,
vendor,Deep Cut Glass Designs,https://deepcutglassdesigns.com,
vendor,Jeremi Why Glass,https://m.facebook.com/jeremy.why.5/,
vendor,Elisa Rose Mountain,https://www.etsy.com/shop/ElisaRoseMountain,
vendor,Buddha Stones,https://buddhastoneshop.com/,
vendor,China Cat Creations,https://www.etsy.com/shop/chinacatcreationsus,
vendor,GD Songbooks,https://www.gdsongbooks.com,
vendor,Pagan Sun,https://www.etsy.com/shop/PaganSun,
vendor,Robbi Cohn,https://www.robbicohn.com,photographer
vendor,Wicklow Art,https://www.wicklowart.com/,
vendor,Wild Grain Studios,https://www.facebook.com/share/1ajybtGtUm/,
vendor,When In Roam,https://www.etsy.com/shop/WheninRoamBoutique,
vendor,Seven Brights Batiks,https://www.facebook.com/share/16rKb7942k/,
vendor,Drifter Merch,http://driftermerch.com,
vendor,Always A Hoot,https://www.facebook.com/share/1CzQTJcqMU/,
vendor,Tater and Hooligans,https://www.facebook.com/share/1Fyw1p17HH/,
vendor,Billy Goats Crossing,https://billygoatscrossing.com/,
vendor,Fairy Garden Glow,https://fairygardenglow.com,
vendor,Tie Dyed Twice,https://www.facebook.com/share/1BtP7uzQoC/,
vendor,Reba's Dancing Dyes,https://www.facebook.com/share/1H2xVUCSUh/,
vendor,Om Grown Art,https://omgrownart.com,
vendor,Plume Designs,http://www.plumedesigns.com/,
vendor,Deadheads Closet,http://www.deadheadscloset.com/,
vendor,D. Klaaren Art,https://www.instagram.com/d.klaaren_art,
vendor,Mark Fournier Art,https://marcfournierart.com,
vendor,Terrapin Treasures,https://terrapinglassgardens.etsy.com/,
vendor,Sacred Imagination,https://sacredimagination.co/,
vendor,Lightpourer Studio,https://lightpourerstudio.com/,
vendor,Ryan Kane Glass,https://www.headdyglass.com/,
vendor,Zosh Gift Shop,https://www.etsy.com/shop/ZoshGiftShop,
vendor,Woodstock Trading Company,https://www.woodstocktradeco.com/,
vendor,Enlighten Up Studios,http://www.enlightenupstudios.com,
vendor,Selenite Moon,https://www.instagram.com/the.selenite.moon/,
vendor,Carolyn Roche Designs,https://www.etsy.com/shop/carolynrochedesigns,
vendor,Yummy Tie Dyes,https://www.etsy.com/shop/yummytiedyes,
vendor,Shady Grove Tie Dyes,https://www.etsy.com/shop/ShadyGroveTieDyes,
vendor,Little Daddy's Art,https://www.facebook.com/share/186Zfhrxct/,
vendor,Jenis Nugget Designs,https://www.jenisnugget.com/,
vendor,Northern Edge Designs,https://www.etsy.com/shop/NorthernEdgeDesigns,
vendor,Dew Drop Designs,https://www.facebook.com/share/1JkKTrAHJ1/,
vendor,Ruby Tuesday Designs,https://www.etsy.com/shop/RudyTuesdayDesigns,
vendor,Big Woolly Designs,https://bigwoollydesign.myshopify.com/,
vendor,Nailed It,https://www.facebook.com/nailedit22,
vendor,Dynamic Designs,https://www.dyenamic-designs.com/,
vendor,Light Sound Dimensions,https://www.lightsounddimension.com/,
vendor,Steel Daniels Dyes,https://steeldanielsdyes.etsy.com/,
vendor,Ride or Dye,https://www.ride-or-dye.shop/,
vendor,Sweet Dyes,http://www.sweetdyes.com/,
vendor,Stealie Yo Flannel,https://www.etsy.com/shop/StealieYoFlannel,
vendor,Jah Love Lot Creations,https://www.facebook.com/share/18FnGqFXSs/,
vendor,KARMAvore Lot Shop,https://karmavorelotshop01.etsy.com/,
vendor,Z Emporium,https://itszemporium.etsy.com,
vendor,Daffodil Daydream Designs,https://www.daffodildaydreams.com/,
vendor,Lainey Mae Clothing Co,https://www.laineymaeclothingco.com/,
vendor,Tie Dye Steve,https://www.etsy.com/shop/TieDyeStevedotCom,
vendor,Ripple's Thought Jewels,https://www.ripplesthoughtjewels.com/,
vendor,The Roamers Roost,http://www.theroamersroost.com,
vendor,Shaun's Show Shirts,http://www.shaunsshowshirts.com,
vendor,Cumberland Groove,https://cumberlandgroove.com/,
vendor,To Dye For Tie Dyes,https://www.facebook.com/2Dye4tieDyes,
vendor,Cabin Fever Creations,https://www.instagram.com/cabinfever_creations,
vendor,Lightnin Lids,https://www.lightninlids.com/,
vendor,Bayou Clay Works,http://www.bayouclayworks.com/,
vendor,M.A.D. Embroidery Plus,https://www.facebook.com/share/g/1K6PhCd9j5/,
vendor,Quantum Lotus Dyes,https://www.etsy.com/market/quantum_lotus_dyes,
vendor,Groove Prints by Jenny,https://www.instagram.com/grooveprintsbyjenny,
vendor,Vozee Leather and Dye,https://www.etsy.com/shop/vozeeleatheranddye,
vendor,Jim's Pendants and Pins,https://www.facebook.com/groups/1476994693955197/,
vendor,David J Warrington,http://thephotoeye.net/,photographer
vendor,We Got Pins,https://www.etsy.com/shop/wegotpinsmerch,
vendor,Jersey Devil Tie Dye,https://www.etsy.com/search/?q=Jersey+Devil+Tie+Dye,
vendor,Maddie Moon,https://maddiemoon.com/,
vendor,Dark Star Art Company,https://darkstarartcompany.etsy.com,
vendor,Grateful Daze Boutique,https://www.etsy.com/shop/gratefuldeadboutique,
festival,Tico Time Bluegrass Festival,https://ticotimebluegrass.com/,
festival,Summer Camp,https://summercampfestival.com/,
festival,Suwannee Spring Reunion,https://suwanneespringreunion.com/,Live Oak FL
festival,Okeechobee Music and Arts Festival 2026,https://www.okeechobeefest.com/,
festival,Cali Roots 2026,https://www.californiarootsfestival.com/,
festival,The Dead of Summer Music Festival,https://www.deadofsummermusicfestival.com/,
festival,From the Earth Festival,https://www.facebook.com/events/s/from-the-earth-festival/928058573212967/,
festival,Grateful Dub,https://www.facebook.com/events/s/grateful-dub-a-reggae-infused-/1480722653026476/,reggae GD
festival,Dragons With Matches,https://www.facebook.com/events/s/dragons-with-matches-one-world/1953229778903466/,
festival,Moe Down 2026,https://www.tixr.com/groups/riotsquadmedia/events/moe-down-2026-167723,
festival,Sober Dance Party,https://www.facebook.com/story.php?story_fbid=1465562378495223,
fb_group,Stealing Your Face,https://www.facebook.com/groups/792214340115407/,SDS community group — vacuum target
fb_group,Jim's Pendants and Pins,https://www.facebook.com/groups/1476994693955197/,
resource,Where is the Band? (tribute directory),http://gratefuldeadtributebands.com/,band directory
resource,Heady Version,https://headyversion.com/,best-version rankings
resource,Relix,https://relix.com/,magazine
resource,Garcia Family Provisions,https://www.garciafamilyprovisions.com/,official Garcia family
resource,Music Photographics,https://www.musicphotographics.com/,photography
resource,David Dodd's GD Lyrics,https://www.cs.cmu.edu/~mleone/dead-lyrics.html,annotated lyrics
resource,Internet Archive,https://archive.org/,live tapes
resource,Relisten (recently played),https://relisten.net/recently-played,streaming
resource,Live for Live Music,https://liveforlivemusic.com/,news
resource,The Grateful Dead Hour,https://gdhour.com/,radio
resource,Grateful Stats,https://www.gratefulstats.com/,setlist stats
resource,The Setlist Program,https://www.setlists.net/,setlists
resource,Deaddisc,https://deaddisc.com/,discography
resource,Phantasy Tour,https://www.phantasytour.com/,community
resource,Nugs,https://www.nugs.net/,official live streams
resource,Jambands,https://jambands.com/,news
charity,Rex Foundation,https://www.rexfoundation.org/,SDS beneficiary
charity,JDRF / T1D,https://www.jdrf.org/,SDS beneficiary
charity,Ripple (planned nonprofit),,SDS's own planned nonprofit
